channel_name,total_posts,avg_views,total_views,max_views,posts_with_images,total_forwards,engagement_rate
lobelia4cosmetics,10,156.2,1562,400,10,0,156.2
tikvahpharma,10,281.9,2819,437,5,6,281.9
